"airportIATACode";"airportName";"airportICAOCode"
"MAD";"ADOLFO SUAREZ";"LEMD"
"MAE";"Madera";"KMAE"
"MAF";"ODESSA";"KMAF"
"MAG";"Madang";"AYMD"
"MAH";"MENORCA";"LEMH"
"MAI";"Mangochi";"FWMG"
"MAJ";"AMATA KABUA INTL";"PKMJ"
"MAK";"Malakal";"HSSM"
"MAL";"Mangole";"WAPE"
"MAM";"Matamoros";"MMMA"
"MAN";"MANCHESTER";"EGCC"
"MAO";"EDUARDO GOMES INTL";"SBEG"
"MAP";"Mamai";""
"MAQ";"Mae Sot";"VTPM"
"MAR";"MARACAIBO";"SVMC"
"MAS";"Momote";"AYMO"
"MAT";"Matadi";"FZAM"
"MAU";"Maupiti";"NTTP"
"MAV";"Maloelap Island";""
"MAW";"Malden";"KMAW"
"MAX";"Matam";"GOSM"
"MAY";"Mangrove Cay";"MYAB"
"MAZ";"Eugenio M De Hostos";"TJMZ"
"MBA";"MOMBASA";"HKMO"
"MBB";"Marble Bar";"YMBL"
"MBC";"Mbigou";"FOGG"
"MBD";"Mafikeng International Airport";"FAMM"
"MBE";"Monbetsu";"RJEB"
"MBG";"Mobridge";"KMBG"
"MBH";"Maryborough";"YMYB"
"MBI";"Mbeya";"HTMB"
"MBJ";"MONTEGO BAY";"MKJS"
"MBK";"Matupa";"SWXM"
"MBL";"Blacker";"KMBL"
"MBM";"Mkambati";""
"MBO";"Mamburao";"RPUM"
"MBP";"Moyobamba";"SPBB"
"MBQ";"Mbarara";"HUMA"
"MBS";"TRI CITY";"KMBS"
"MBT";"Masbate";"RPVJ"
"MBU";"Mbambanakira";"AGGI"
"MBV";"Masa";""
"MBW";"Moorabbin";"YMMB"
"MBX";"Maribor International Airport";"LJMB"
"MBY";"Moberly";"KMBY"
"MBZ";"Maues";"SWMW"
"MCA";"Macenta";"GUMA"
"MCB";"Pike County";"KMCB"
"MCC";"Mcclellan AFB";"KMCC"
"MCD";"Mackinac Island";""
"MCE";"Merced Municipal Airport";"KMCE"
"MCF";"Mac Dill AFB";"KMCF"
"MCG";"Mcgrath";"PAMC"
"MCH";"Machala";"SEMH"
"MCI";"NTERNATIONAL";"KMCI"
"MCJ";"Maicao";"SKLM"
"MCK";"Mccook";"KMCK"
"MCL";"Mt Mckinley";"PAIN"
"MCM";"Monte Carlo Hliport";"LNMC"
"MCN";"Lewis B Wilson";"KMCN"
"MCO";"INTERNATIONAL";"KMCO"
"MCP";"MACAPA";"SBMQ"
"MCQ";"Miskolc";""
"MCR";"Melchor De Menco";"MGMM"
"MCS";"Monte Caseros";"SARM"
"MCT";"MUSCAT";"OOMS"
"MCU";"Gueret (Lepaud)";"LFLT"
"MCV";"Mcarthur River";"YMHU"
"MCW";"Mason City Municipal";"KMCW"
"MCX";"Makhachkala";"URML"
"MCY";"MAROOCHYDORE";"YBMC"
"MCZ";"MACEIO";"SBMO"
"MDB";"Melinda";""
"MDC";"Samratulangi";"WAMM"
"MDD";"Airpark";"KMDD"
"MDE";"J M CORDOVA";"SKRG"
"MDF";"Medford";"KMDZ"
"MDG";"Mudanjiang";"ZYMD"
"MDH";"Southern Illinois";"KMDH"
"MDI";"Makurdi";"DNMK"
"MDJ";"City-county";""
"MDK";"Mbandaka";"FZEA"
"MDL";"MANDALAY";"VYCZ"
"MDM";"Munduku";""
"MDN";"Jefferson Proving Grd";"KIMS"
"MDO";"Intermediate";"PAMD"
"MDP";"Mindiptana";"WAKD"
"MDQ";"Mar Del Plata";"SAZM"
"MDR";"Medfra";""
"MDS";"Middle Caicos";"MBMC"
"MDT";"HARRISBURG INTL";"KMDT"
"MDU";"Mendi";"AYMN"
"MDV";"Medouneu";""
"MDW";"MIDWAY";"KMDW"
"MDX";"Mercedes";"SATM"
"MDY";"Sand Island Field";"PMDY"
"MDZ";"El Plumerillo";"SAME"
"MEA";"Macae";"SBME"
"MEB";"Essendon";"YMEN"
"MEC";"Manta";"SEMT"
"MED";"MADINAH";"OEMA"
"MEE";"Mare";"NWWR"
"MEF";"Melfi";""
"MEG";"Malange";"FNMA"
"MEH";"Mehamn";"ENMR"
"MEI";"Key Field";"KMEI"
"MEJ";"Meadville";""
"MEK";"Meknes";"GMFM"
"MEL";"TULLAMARINE";"YMML"
"MEM";"MEMPHIS INTL";"KMEM"
"MEN";"Brenoux";"LFNB"
"MEO";"Dare County Regional";"KMQI"
"MEP";"Mersing";"WMAU"
"MEQ";"Seunagan";"WITC"
"MER";"Castle AFB";"KMER"
"MES";"Polonia";"WIMM"
"MET";"Moreton";"YMOT"
"MEU";"Monte Dourado";"SBMD"
"MEV";"Douglas County";"KMEV"
"MEW";"Mweka";"FZVM"
"MEX";"MEXICO CITY";"MMMX"
"MEY";"Meghauli";"VNMG"
"MEZ";"Messina";"FAMS"
"MFA";"Mafia";"HTMA"
"MFB";"Monfort";""
"MFC";"Mafeteng";"FXMF"
"MFD";"Lahm Municipal";"KMFD"
"MFE";"MILLER INTL";"KMFE"
"MFF";"Moanda";"FOOD"
"MFG";"Muzaffarabad";"OPMF"
"MFH";"Mesquite";""
"MFI";"Municipal";"KMFI"
"MFJ";"Moala";"NFMO"
"MFK";"Matsu";"RCMT"
"MFL";"Mount Full Stop";""
"MFM";"MACAU";"VMMC"
"MFN";"Milford Sound";"NZMF"
"MFO";"Manguna";"AYNG"
"MFP";"Manners Creek";"YMCR"
"MFQ";"Maradi";"DRRM"
"MFR";"JACKSON COUNTY";"KMFR"
"MFS";"Miraflores";"SKMF"
"MFT";"Machu Picchu";""
"MFU";"Mfuwe";"FLMF"
"MFV";"Accomack County";"KFMV"
"MFX";"Meribel";"LFKX"
"MFZ";"Mesalia";""
"MGA";"AUGUSTO C SANDINO";"MNMG"
"MGB";"Mount Gambier";"YMTG"
"MGC";"Michigan City Airport";"KMGC"
"MGD";"Magdalena";"SLMG"
"MGE";"Dobbins AFB";"KMGE"
"MGF";"REG.SILVIO NAME JR";"SBMG"
"MGH";"Margate";"FAMG"
"MGJ";"Orange County";"KMGJ"
"MGK";"Mong Ton";"VYMT"
"MGL";"Moenchen-gl. - Dus Exp";"EDLN"
"MGM";"DANNELLY FLD";"KMGM"
"MGN";"Baracoa";"SKMG"
"MGP";"Manga";""
"MGQ";"ADEN ADDE INTL";"HCMM"
"MGR";"Moultrie Municipal";""
"MGS";"Mangaia Island";"NCGO"
"MGT";"Milingimbi";"YMGB"
"MGU";"Manaung";"VYMN"
"MGV";"Margaret River";"YMGR"
"MGW";"Morgantown";"KMGW"
"MGX";"Moabi";"FOGI"
"MGY";"Dayton-Wright Brothers Airport";"KMGY"
"MGZ";"Myeik";"VYME"
"MHA";"Mahdia";"SYMD"
"MHC";"Macmahon Camp 4";"SCPQ"
"MHD";"SHAHID HASHEMI NEJAD";"OIMM"
"MHE";"Municipal";"KMHE"
"MHF";"Morichal";""
"MHG";"MANNEIM";"EDFM"
"MHH";"MARSH HARBOUR INTL";"MYAM"
"MHI";"Musha";"HDMO"
"MHK";"MANHATTAN MNPL";"KMHK"
"MHL";"Memorial Municipal";""
"MHM";"Intermediate";"PAMH"
"MHN";"Mullen";"KMHN"
"MHO";"Mount House";"YMHO"
"MHP";"Minsk International 1";"UMMM"
"MHQ";"MARIEHAMN";"EFMA"
"MHR";"Sacramento Mather Airport";"KMHR"
"MHS";"Rep";""
"MHT";"MANCHESTER";"KMHT"
"MHU";"Mount Hotham";"YHOT"
"MHV";"Kern County";"KMHV"
"MHW";"Monteagudo";"SLAG"
"MHX";"Manihiki Island";"NCMH"
"MHY";"Morehead";""
"MHZ";"Mildenhall Airport";"EGUN"
"MIA";"MIAMI International";"KMIA"
"MIB";"Minot Air Force Base";"KMIB"
"MIC";"Crystal";"KMIC"
"MID";"MERIDA";"MMMD"
"MIE";"Delaware County";"KMIE"
"MIF";"Roy Hurd Memorial";""
"MIG";"Mian Yang";"EDPN"
"MIH";"Mitchell Plateau";""
"MII";"MARILIA";"SBML"
"MIJ";"Mili Island";"MLIP"
"MIK";"Mikkeli";"EFMI"
"MIM";"Merimbula";"YMER"
"MIN";"Minnipa";"YMPA"
"MIO";"Miami";"KMIO"
"MIP";"Mitspeh Ramon";"LLMR"
"MIQ";"Simón Bolívar International";"KMLE"
"MIR";"MONASTIR";"DTMB"
"MIS";"Misima Island";"AYMS"
"MIU";"Maiduguri";"DNMA"
"MIV";"Millville";"KMIV"
"MIW";"Municipal";"KMIW"
"MIY";"Mittiebah";""
"MIZ";"Mainoru";""
"MJA";"Manja";"FMSJ"
"MJB";"Mejit Island";""
"MJC";"Man";"DIMN"
"MJD";"Mohenjodaro";"OPMJ"
"MJE";"Majkin";""
"MJF";"Kjaerstad";"ENMS"
"MJG";"Mayajigua";""
"MJI";"MITIGA";"HLMM"
"MJJ";"Moki";""
"MJK";"Shark Bay";"YSHK"
"MJL";"Mouila";"FOGM"
"MJM";"Mbuji-Mayi";"FZWA"
"MJN";"Amborovy";"FMNM"
"MJO";"Mount Etjo Lodge";""
"MJP";"Manjimup";"YMJM"
"MJQ";"Jackson";"KMJQ"
"MJR";"Miramar";""
"MJS";"Maganja Da Costa";""
"MJT";"ODYSSEAS ELYTIS";"LGMT"
"MJU";"Mamuju";""
"MJV";"San Javier";"LELC"
"MJW";"Mahenye";""
"MJX";"Robert J. Miller";"KMJX"
"MJY";"Mangunjaya";""
"MJZ";"Mirnyj";"UERR"
"MKA";"Marianske Lazne";"LKMR"
"MKB";"Mekambo";"FOOE"
"MKC";"Downtown";"KMKC"
"MKE";"MILWAUKEE";"KMKE"
"MKG";"MUSKEGON";"KMKG"
"MKH";"Mokhotlong";"FXMK"
"MKI";"Mboki";"FEGE"
"MKJ";"Makoua";"FCOM"
"MKK";"Molokai";"PHMK"
"MKL";"Mc Kellar-Sipes Regional";"KMKL"
"MKM";"Mukah";"WBGK"
"MKN";"Malekolon";""
"MKP";"Makemo";"NTGM"
"MKQ";"Mopah";"WAKK"
"MKR";"Meekatharra";"YMEK"
"MKS";"Mekane Selam";"HAMA"
"MKT";"Municipal";"KMKT"
"MKU";"Makokou";"FOOK"
"MKV";"Mt Cavenagh";""
"MKW";"Rendani";"WASR"
"MKY";"MACKAY";"KMKY"
"MKZ";"Batu Berendam";"WMKM"
"MLA";"MALTA";"LMML"
"MLB";"MELBOURNE INTL";"KMLB"
"MLC";"Mc Alester";"KMLC"
"MLE";"MALE";"VRMM"
"MLF";"Milford";"KMLF"
"MLG";"Abdul Rahman Saleh";"WIAS"
"MLH";"MULHOUSE";"LFGB"
"MLI";"QUAD CITY";"KMLI"
"MLJ";"Baldwin County";"KMLJ"
"MLK";"Malta";""
"MLL";"Marshall";"PADM"
"MLM";"MORELIA";"MMMM"
"MLN";"Melilla";"GEML"
"MLO";"Milos";"LGML"
"MLP";"Malabang";""
"MLQ";"Malalaua";""
"MLR";"Millicent";"YMCT"
"MLS";"Municipal";"KMLS"
"MLT";"Millinocket";"KMLT"
"MLU";"Municipal";"KMLU"
"MLV";"Merluna";""
"MLW";"Sprigg Payne";"GLMR"
"MLX";"ERHAC";"LTAT"
"MLY";"Manley Hot Springs";"PAML"
"MLZ";"Cerro Largo";"SUMO"
"MMB";"Memanbetsu";"RJCM"
"MMC";"Ciudad Mante";"MMDM"
"MMD";"Maridor";"ROMD"
"MME";"TEESSIDE INTL";"EGNV"
"MMF";"Mamfe";"FKKF"
"MMG";"Mount Magnet";"YMOG"
"MMH";"Mammoth Lakes";"KMMH"
"MMI";"McMinn County";"KMMI"
"MMJ";"Matsumoto";"RJAF"
"MMK";"Murmansk";"ULMM"
"MML";"Municipal-Ryan Field";"KMML"
"MMM";"Middlemount";"YMMU"
"MMO";"Vila Do Maio";"GVMA"
"MMP";"Mompos";""
"MMQ";"Mbala";"FLBA"
"MMS";"Selfs";""
"MMT";"Mc Entire ANG Base";"KMMT"
"MMU";"Municipal";"KMMU"
"MMV";"Mal";"KMMV"
"MMX";"STURUP";"ESMS"
"MMY";"Hirara";"ROMY"
"MMZ";"Maimana";"OAMN"
"MNA";"Melangguane";"WAMN"
"MNB";"Moanda";"FZAG"
"MNC";"Nacala";"FQNC"
"MND";"Medina";""
"MNE";"Mungeranie";"YMUG"
"MNF";"Mana Island Airstrip";"NFMA"
"MNG";"Maningrida";"YMGD"
"MNH";"Minneriya";""
"MNI";"Gerald's Airport";"TRPG"
"MNJ";"Mananjary";"FMSM"
"MNK";"Maiana";"NGMA"
"MNL";"Ninoy Aquino International Airport";"RPLL"
"MNM";"Menominee";"KMNM"
"MNN";"Municipal";"KMNN"
"MNO";"Manono";"FZRA"
"MNQ";"Monto";"YMTO"
"MNR";"Mongu";"FLMG"
"MNS";"Mansa";"FLMA"
"MNT";"Minto";""
"MNU";"Maulmyine";"VYMM"
"MNX";"Manicore";"SBMY"
"MNY";"Mono";"AGGO"
"MNZ";"Manassas Regional Airport/Harry P. Davis Field";"KHEF"
"MOA";"Orestes Acosta";"MUMO"
"MOB";"MOBILE MUNICIPAL";"KMOB"
"MOC";"Mario Ribeiro";"SBMK"
"MOD";"Municipal";"KMOD"
"MOE";"Momeik";"VYMO"
"MOF";"Waioti";"WRKC"
"MOG";"Mong Hsat";"VYMS"
"MOI";"Mitiaro Island";"NCMR"
"MOJ";"Moengo";"SMMO"
"MOL";"MOLDE";"ENML"
"MOM";"Moudjeria";"GQNL"
"MON";"Mount Cook Airport";"NZGT"
"MOO";"Moomba";"YOOM"
"MOP";"Municipal";"KMOP"
"MOQ";"Morondava";"FMMV"
"MOR";"Moore-Murrell";"KMOR"
"MOT";"International";"KMOT"
"MOU";"Mountain Village";"PAMO"
"MOV";"Moranbah";"YMRB"
"MOZ";"Temae";"NTTM"
"MPA";"Mpacha";"FAMP"
"MPC";"Muko-Muko";"WIPU"
"MPD";"Mirpur Khas";"OPMP"
"MPF";"Mapoda";""
"MPG";"Makini";""
"MPH";"Malay";"RPWY"
"MPI";"Mamitupo";""
"MPJ";"Petit Jean Park";"KMPJ"
"MPK";"Mokpo Heliport";"RKJM"
"MPL";"MEDITERRANEE";"LFTM"
"MPM";"Maputo Airport";"FQMA"
"MPN";"Mount Pleasant";"EGYP"
"MPO";"Mt Pocono";"KMPO"
"MPP";"Mulatupo";""
"MPT";"Maliana";""
"MPU";"Mapua";""
"MPV";"Edward F Knapp State";"KMPV"
"MPW";"Mariupol";"UKCM"
"MPX";"Miyanmin";""
"MPY";"Maripasoula";"SOOA"
"MPZ";"Municipal";"KMPZ"
"MQA";"Mandora";"YMDI"
"MQB";"Municipal";""
"MQC";"Miquelon Airport";"LFVM"
"MQD";"Maquinchao";"SAVQ"
"MQE";"Marqua";"YMQA"
"MQF";"Magnitogorsk";"USCM"
"MQG";"Midgard";""
"MQH";"Municipal";"SBMC"
"MQJ";"Moma Airport";"UEMA"
"MQK";"San Matias";"SLTI"
"MQL";"MILDURA";"YMIA"
"MQM";"Mardin";"LTCR"
"MQN";"Mo I Rana";"ENRA"
"MQO";"Malam";""
"MQP";"KRUGER MPUMALANGA INTL";"FAKN"
"MQQ";"Moundou";"FTTD"
"MQS";"Mustique";"TVSM"
"MQT";"Sawyer International";"KSAW"
"MQU";"Mariquita";"SKQU"
"MQV";"Mostaganem";""
"MQX";"Makale";"HAMK"
"MQY";"Smyrna";"KMQY"
"MQZ";"Margaret River";"YMGT"
"MRA";"MISURATA";""
"MRB";"Eastern Wv Regional Airport/Shepherd Field";"KMRB"
"MRC";"Maury County";""
"MRD";"A Carnevalli";"SVMD"
"MRE";"Mara Lodges";"HKMS"
"MRF";"Municipal";"KMRF"
"MRG";"Mareeba";"YMBA"
"MRH";"May River";""
"MRI";"Merrill Field";"PAMR"
"MRK";"Marco Island";"KMKY"
"MRM";"Manare";""
"MRN";"Lenoir";"KMRN"
"MRO";"Masterton/Hood Aerodrome";"NZMS"
"MRP";"Marla";"YALA"
"MRQ";"Marinduque";"RPUW"
"MRR";"Macara";"SEMA"
"MRS";"MARSEILLE";"LFML"
"MRU";"MAURITIUS";"FIMP"
"MRV";"MINERALNYE VODY";"URMM"
"MRW";"Maribo";"EKMB"
"MRX";"Mahshahr";"OIAM"
"MRY";"MONTEREY PENINS";"KMRY"
"MRZ";"Moree";"YMOR"
"MSA";"Muskrat Dam";"CZMD"
"MSC";"Falcon Field";"KFFZ"
"MSE";"Kent International Airport";"EGMH"
"MSH";"Masirah";"OOMA"
"MSI";"Masalembo";""
"MSJ";"Misawa";"RJSM"
"MSL";"Sheffield";"KMSL"
"MSM";"Masi Manimba";"FZCV"
"MSN";"DANE COUTY REGIO";"KMSN"
"MSO";"JOHNSON BELL F";"KMSO"
"MSP";"MINNEAPOLIS";"KMSP"
"MSQ";"MINSK";"UMMS"
"MSR";"Mus";"LTCK"
"MSS";"Richards Field";"KMSS"
"MST";"Maastricht/aachen";"EHBK"
"MSU";"MOSHOESHOE I INTL";"FXMM"
"MSV";"Sullivan County International";"KMSV"
"MSW";"Massawa International";"HHMS"
"MSX";"Mossendjo";""
"MSY";"LOUIS ARMSTRONG NEW ORLEANS INTL AIRPORT";"KMSY"
"MSZ";"Namibe";"FNMO"
"MTA";"Matamata";""
"MTB";"Monte Libano";"SKML"
"MTC";"Selfridge ANGB";"KMTC"
"MTD";"Mt Sandford";"YMSF"
"MTE";"Monte Alegre";"SNMA"
"MTF";"Mizan Teferi";"HAMT"
"MTG";"Mato Grosso";"SWVB"
"MTH";"The Florida Keys Marathon";"KMTH"
"MTI";"Mosteiros";"GVMT"
"MTJ";"MONTROSE COUNTY";"KMTJ"
"MTK";"Makin Island";"NGMN"
"MTL";"Maitland";"YMND"
"MTN";"Glenn L Martin";"KMTN"
"MTO";"Coles County Memorial";"KMTO"
"MTP";"Montauk Airport";"KMTP"
"MTQ";"Mitchell";"YMIT"
"MTR";"S. Jeronimo";"SKMR"
"MTS";"Matsapha International";"FDMS"
"MTT";"Minatitlan";"MMMT"
"MTU";"Montepuez";""
"MTV";"Mota Lava";"NVSA"
"MTW";"Municipal";"KMTW"
"MTX";"Metro Field";""
"MTY";"GENERAL M ESCOBEDO";"MMMY"
"MTZ";"Masada";"LLMZ"
"MUA";"Munda";"AGGM"
"MUB";"MAUN";"FBMN"
"MUC";"FRANZ JOSEF STRAUSS";"EDDM"
"MUD";"Mueda";"FQMD"
"MUE";"Kamuela";"PHMU"
"MUF";"Muting";""
"MUG";"Mulege";"MMMG"
"MUH";"Mersa Matruh";"HEMM"
"MUJ";"Mui";""
"MUK";"Mauke Island";"NCMK"
"MUL";"Spence";"KMUL"
"MUN";"Quiriquire";"SVMT"
"MUO";"Mountain Home AFB";"KMUO"
"MUQ";"Muccan";"YMUC"
"MUR";"Marudi";"WBGM"
"MUS";"Marcus Island";"RJAM"
"MUT";"Muscatine";"KMUT"
"MUW";"Mascara-Ghriss";"DAOV"
"MUX";"MULTAN INTERNATIONAL";"OPMT"
"MUY";"Mouyondzi";"FCBM"
"MUZ";"Musoma";"HTMU"
"MVA";"Reykiahlid";"BIRL"
"MVB";"Franceville/Mvengue";"FOON"
"MVC";"Monroe - Walton County";"KMVC"
"MVD";"MONTEVIDEO";"SUMU"
"MVF";"Dixsept Rosado";"SBMW"
"MVK";"Mulka";"YMUK"
"MVL";"Morrisville-Stowe";"KMVL"
"MVN";"Mt Vernon-Outland";""
"MVO";"Mongo";""
"MVP";"Mitu";"SKMU"
"MVQ";"Mogilev";"UMOO"
"MVR";"Salam";"FKKL"
"MVS";"Aeroporto Max Feffer";"SNMU"
"MVT";"Mataiva";"NTGV"
"MVU";"Musgrave";""
"MVV";"Megeve";"LFHM"
"MVW";"Skagit Regional";"KBVS"
"MVX";"Minvoul";"FOGV"
"MVY";"Martha's Vineyard";"KMVY"
"MVZ";"Masvingo";"FVMV"
"MWA";"Williamson County";"KMWA"
"MWB";"Morawa";""
"MWC";"Lawrence J Timmerman";"KMWC"
"MWD";"Mianwali";"OPMI"
"MWE";"Merowe";"HSMR"
"MWF";"Maewo";"NVSN"
"MWG";"Marawaka";""
"MWH";"Grant County";"KMWH"
"MWI";"Maramuni";""
"MWJ";"Matthews Ridge";""
"MWK";"Matak";"WIOM"
"MWL";"Mineral Wells Airport";"KMWL"
"MWM";"Windom Municipal";"KMWM"
"MWN";"Mwadui";"HTMD"
"MWO";"Hook Field";""
"MWP";"Mountain";""
"MWQ";"Magwe";"VYMW"
"MWT";"Moolawatana";""
"MWX";"Muan International";"RKJB"
"MWY";"Miranda Downs";""
"MWZ";"Mwanza";"HTMW"
"MXA";"Municipal";"KMXA"
"MXB";"Masamba";"WAWM"
"MXD";"Marion Downs";"YMWX"
"MXE";"Maxton";"KMEB"
"MXF";"Maxwell AFB";"KMXF"
"MXH";"Moro";"AYMR"
"MXI";"Imelda Romualdez Marcos";"RPMQ"
"MXJ";"Minna";"DNMN"
"MXK";"Mindik";""
"MXL";"Mexicali";"MMML"
"MXM";"Morombe";"FMSR"
"MXN";"Morlaix";"LFRU"
"MXP";"MALPENSA";"LIMC"
"MXR";"Mirgorod";""
"MXS";"Maota Savaii Island";"NSMA"
"MXT";"Maintirano";"FMMO"
"MXU";"Mullewa";"YMWA"
"MXV";"Moron";"ZMMN"
"MXW";"Mandalgobi";"ZMMG"
"MXX";"Mora";"ESKM"
"MXY";"Mccarthy";""
"MXZ";"Meixian";"ZGMX"
"MYA";"Moruya";"YMRY"
"MYB";"Mayoumba";"FOOY"
"MYC";"Maracay";"SVBS"
"MYD";"Malindi";"HKML"
"MYE";"Miyake Jima";"RJTQ"
"MYF";"Montgomery Field";"NTGA"
"MYG";"Mayaguana";"MYMM"
"MYI";"Murray Island";"YMUI"
"MYJ";"MATSUYAMA";"RJOM"
"MYK";"May Creek";""
"MYL";"Mccall";"KMYL"
"MYM";"Monkey Mountain";"SYMM"
"MYN";"Mareb";"OYMB"
"MYO";"Myroodah";""
"MYP";"Mary";"UTAM"
"MYQ";"Mysore";"VOMY"
"MYR";"MYRTLE AFB";"KMYR"
"MYT";"Myitkyina";"VYMK"
"MYU";"Ellis Field";"PAMY"
"MYV";"Yuba County";"KMYV"
"MYW";"Mtwara";"HTMT"
"MYX";"Menyamya";""
"MYY";"Miri";"WBGR"
"MYZ";"Monkey Bay";"FWMY"
"MZB";"Mocimboa Praia";"FQMP"
"MZC";"Mitzic";"FOOM"
"MZD";"Mendez";""
"MZE";"Manatee";""
"MZG";"Makung";"RCQC"
"MZH";"Merzifon";"LTAP"
"MZI";"Mopti";"GAMB"
"MZJ";"Marana";"KMZJ"
"MZK";"Marakei";"NGMK"
"MZL";"Santaguida";"SKMZ"
"MZM";"Frescaty";"LFSF"
"MZO";"Sierra Maestra";"MUMZ"
"MZP";"Motueka";"NZMK"
"MZQ";"Mkuze";"FAMU"
"MZR";"Mazar-i-sharif";"OAMS"
"MZS";"Mostyn";""
"MZT";"GENERAL RAFAEL BUELNA";"MMMZ"
"MZU";"Muzaffarpur";"VEMZ"
"MZV";"Mulu,";"WBFC"
"MZW";"Mechria";"DAAY"
"MZY";"Mossel Bay";"FAMO"
"MZZ";"Marion";"KMZZ"
"NAA";"Narrabri";"YNBR"
"NAC";"Naracoorte";"YNRC"
"NAD";"Macanal";""
"NAE";"Natitingou";""
"NAF";"Banaina";""
"NAG";"NAGPUR";"VANP"
"NAH";"Naha";"WAMH"
"NAI";"Annai";"SYAN"
"NAJ";"Nakhichevan";"UBBN"
"NAK";"Nakhon Ratchasima";"VTUQ"
"NAL";"Nalchik";"URMN"
"NAM";"Namlea";"WAPR"
"NAN";"NADI INTL";"NFFN"
"NAO";"Nanchong";"ZUNC"
"NAP";"CAPODICHINO";"LIRN"
"NAQ";"Qaanaaq";"BGQQ"
"NAR";"Nare";"SKPN"
"NAS";"NASSAU";"MYNN"
"NAT";"GOVERNADOR ALOISIO ALVES";"SBNT"
"NAU";"Napuka Island";"NTGN"
"NAV";"NEVSEHIR";"LTAZ"
"NAW";"Narathiwat";"VTSC"
"NAY";"Nanyuan Airport";"ZBBB"
"NAZ";"Nana";""
"NBA";"Nambaiyufa";""
"NBB";"Barrancominas";""
"NBC";"Naberevnye Chelny";"KNBC"
"NBE";"Zine El Abidine Ben Ali International Airport";"DTNZ"
"NBG";"NAS/Alvin Callendar";"KNBG"
"NBH";"Nambucca Heads";"YNHS"
"NBL";"San Blas";"MPWN"
"NBN";"AnnobÃ³n Airport";"FGAB"
"NBO";"NAIROBI";"HKJK"
"NBS";"Changbaishan";""
"NBW";"Guantanamo NAS";"MUGM"
"NBX";"Nabire";"WABI"
"NCA";"North Caicos";"MBNC"
"NCE";"Cote D'azur International Airport";"LFMN"
"NCG";"Nueva Casas Grandes";"MMCG"
"NCH";"Nachingwea";"HTNA"
"NCI";"Necocli";"SKNC"
"NCJ";"Sunchales";""
"NCL";"NEWCASTLE";"EGNT"
"NCN";"New Chenega";"PFCB"
"NCO";"NAS";"KOQU"
"NCR";"San Carlos";"MNSC"
"NCS";"Newcastle";"FANC"
"NCT";"Guanacaste";""
"NCU";"Nukus";"UTNN"
"NCY";"Annecy-Meythe";"LFLP"
"NDA";"Bandanaira";""
"NDB";"NOUADHIBOU";"GQPP"
"NDC";"Nanded";"VAND"
"NDD";"Sumbe";"FNSU"
"NDE";"Mandera";"HKMA"
"NDF";"Ndalatandos";""
"NDG";"Qiqihar";"ZYQQ"
"NDI";"Namudi";""
"NDJ";"NDJAMENA";"FTTJ"
"NDK";"Namdrik Island";""
"NDL";"Ndele";"FEFN"
"NDM";"Mendi";"HAMN"
"NDN";"Nadunumu";""
"NDR";"NADOR";"GMFN"
"NDS";"Sandstone";"YSAN"
"NDU";"Rundu";"FYRU"
"NDY";"Sanday";"EGES"
"NEC";"Necochea";"SAZO"
"NEF";"Neftekamsk";"UWUF"
"NEG";"Negril";"MKNG"
"NEJ";"Nejjo";"HANJ"
"NEK";"Nekemt";"HANK"
"NEL";"Naec";"KNEL"
"NEN";"Olf Usn";""
"NER";"Neryungri";"UELL"
"NEU";"Sam Neua";"VLSN"
"NEV";"NEWCASTLE";"TKPN"
"NEW";"Lakefront";"KNEW"
"NFG";"Nefteyugansk";"USRN"
"NFL";"NAS";"KNFL"
"NFO";"Mata'aho";"NFTO"
"NGA";"Young";"YYNG"
"NGB";"NINGBO";"ZSNB"
"NGD";"Captain Auguste George";"TUPA"
"NGE";"Ngaoundéré";"FKKN"
"NGF";"Kaneohe Bay MCAS (Marion E. Carl Field) Airport";"PHNG"
"NGI";"Ngau Island";"NFNG"
"NGK";"Nogliki";""
"NGL";"Ngala Airfield";"FANG"
"NGO";"NAGOYA AIRPORT";"RJNN"
"NGQ";"Ngari Gunsa/Ali Kunsha";"ZUAL"
"NGS";"NAGASAKI AIRPORT";"RJFU"
"NGU";"NAS Chambers";"KNGU"
"NGX";"Manang";"VNMA"
"NGZ";"Alameda Naval Air Station";"KNGZ"
"NHA";"Nha Trang";"VVNT"
"NHD";"Minhad AB";"OMDM"
"NHF";"New Halfa";""
"NHK";"Patuxent River Naval Air Station (Trapnell Field)";"KNHK"
"NHS";"Nushki";"OPNK"
"NHT";"Northolt";"EGWU"
"NHV";"Nuku Hiva";"NTMD"
"NHX";"Barin Olf Osn";""
"NHZ";"NAS";"KNHZ"
"NIA";"Nimba";""
"NIB";"Nikolai";"PAFS"
"NIF";"Nifty";"YCNF"
"NIG";"Nikunau";"NGNU"
"NIM";"NIAMEY";"DRRN"
"NIO";"Nioki";"FZBI"
"NIP";"Jacksonville NAS";"KNIP"
"NIS";"Simberi";"AYSE"
"NIT";"Niort";"LFBN"
"NIU";"Niau";"NTKN"
"NIX";"Nioro";"GANR"
"NJA";"Atsugi NAS";"RJTA"
"NJC";"Nizhnevartovsk";"USNN"
"NJF";"Al-Ashraf International";"ORNI"
"NJK";"El Centro NAF";"KNJK"
"NKB";"Noonkanbah Airport";"YNKA"
